,Logistic Regression,Random Forest,Decision Tree,SVM,KNN
Sampling1,0.9161290322580645,0.9935483870967742,0.9935483870967742,0.9548387096774194,0.967741935483871
Sampling2,0.4258064516129032,0.5870967741935483,0.33548387096774196,0.6903225806451613,0.7870967741935484
Sampling3,0.9161290322580645,0.9935483870967742,0.9870967741935484,0.9612903225806452,0.9225806451612903
Sampling4,0.9225806451612903,0.9870967741935484,0.9935483870967742,0.9612903225806452,0.9225806451612903
Sampling5,0.9096774193548387,0.9935483870967742,0.9870967741935484,0.9612903225806452,0.9354838709677419
